term	score	AffectDimension
outraged	0.964	anger
brutality	0.959	anger
hatred	0.953	anger
hateful	0.940	anger
terrorize	0.939	anger
infuriated	0.938	anger
violently	0.938	anger
furious	0.929	anger
enraged	0.927	anger
furiously	0.927	anger
screwyou	0.924	anger
murderer	0.922	anger
fury	0.922	anger
execution	0.917	anger
angered	0.916	anger
savagery	0.915	anger
slaughtering	0.914	anger
veryangry	0.913	anger
assassinate	0.912	anger
annihilation	0.912	anger
fuckoff	0.912	anger
rage	0.911	anger
loathe	0.909	anger
damnation	0.906	anger
fucktard	0.906	anger
homicidal	0.906	anger
roadrage	0.906	anger
furor	0.900	anger
hostile	0.898	anger
annihilate	0.898	anger
murder	0.897	anger
raging	0.896	anger
explosive	0.894	anger
infuriates	0.894	anger
pissed	0.894	anger
ferocious	0.894	anger
obliterated	0.894	anger
rape	0.894	anger
vengeful	0.894	anger
sopissed	0.894	anger
killing	0.893	anger
combative	0.891	anger
gofuckyourself	0.886	anger
vengeance	0.886	anger
wrath	0.885	anger
torment	0.885	anger
vicious	0.884	anger
massacre	0.882	anger
threatening	0.882	anger
abhorrent	0.875	anger
pissoff	0.875	anger
bloodthirsty	0.875	anger
fighting	0.868	anger
attacking	0.865	anger
annihilated	0.865	anger
bloodshed	0.864	anger
angriest	0.864	anger
smite	0.862	anger
brawl	0.861	anger
malicious	0.859	anger
tirade	0.859	anger
assault	0.859	anger
hostility	0.859	anger
explode	0.859	anger
assassination	0.859	anger
strangle	0.859	anger
loathsome	0.857	anger
murderous	0.853	anger
attack	0.853	anger
hell	0.853	anger
malice	0.852	anger
terrorism	0.851	anger
beating	0.849	anger
desecration	0.848	anger
pissingmeoff	0.848	anger
outrage	0.848	anger
destroying	0.844	anger
irate	0.844	anger
infuriate	0.844	anger
stab	0.844	anger
violent	0.844	anger
tumultuous	0.844	anger
abomination	0.844	anger
slaughter	0.844	anger
obliterate	0.843	anger
belligerent	0.841	anger
dumbbitch	0.841	anger
detest	0.838	anger
hostilities	0.837	anger
prick	0.835	anger
torture	0.833	anger
rabid	0.833	anger
rampage	0.833	anger
horrid	0.833	anger
cruelty	0.833	anger
despicable	0.828	anger
tyrannical	0.828	anger
demonic	0.828	anger
hating	0.828	anger
ragemode	0.828	anger
hate	0.828	anger
satanic	0.828	anger
ruinous	0.825	anger
condemn	0.825	anger
dickhead	0.824	anger
demolish	0.824	anger
angry	0.824	anger
riots	0.824	anger
extermination	0.824	anger
livid	0.821	anger
madman	0.820	anger
vindictive	0.819	anger
terrorist	0.818	anger
threaten	0.818	anger
hateyou	0.818	anger
effyou	0.818	anger
ferocity	0.818	anger
venomous	0.818	anger
abhor	0.816	anger
savage	0.814	anger
atrocity	0.814	anger
carnage	0.814	anger
angrytweet	0.812	anger
barbaric	0.812	anger
vendetta	0.812	anger
destroyer	0.812	anger
pissedoff	0.812	anger
abuse	0.812	anger
fuming	0.812	anger
pissesmeoff	0.812	anger
berserk	0.812	anger
fierce	0.812	anger
fucksake	0.812	anger
tyrant	0.812	anger
anger	0.811	anger
pieceofshit	0.810	anger
homicide	0.803	anger
slam	0.803	anger
punching	0.803	anger
bitch	0.803	anger
fights	0.803	anger
punched	0.803	anger
ruthless	0.797	anger
destructive	0.797	anger
villainous	0.797	anger
slap	0.791	anger
yelling	0.788	anger
ragetweet	0.788	anger
punishing	0.788	anger
diabolical	0.788	anger
riot	0.788	anger
growthefuckup	0.788	anger
destroyed	0.788	anger
retaliatory	0.788	anger
slaughterhouse	0.788	anger
manslaughter	0.783	anger
clash	0.783	anger
detonation	0.781	anger
sinister	0.781	anger
hellish	0.781	anger
quarrel	0.781	anger
bloody	0.781	anger
loath	0.781	anger
treacherous	0.779	anger
fumin	0.779	anger
hateeee	0.779	anger
accusing	0.779	anger
horrific	0.773	anger
revulsion	0.773	anger
madder	0.773	anger
retaliate	0.773	anger
scorn	0.769	anger
deplorable	0.766	anger
bomb	0.766	anger
resent	0.765	anger
devastation	0.765	anger
anarchist	0.765	anger
firestorm	0.765	anger
contemptible	0.764	anger
shittest	0.760	anger
smash	0.758	anger
cruel	0.758	anger
soangry	0.758	anger
rant	0.758	anger
deadly	0.758	anger
outburst	0.757	anger
snarl	0.754	anger
offend	0.750	anger
crazed	0.750	anger
revolting	0.750	anger
aggravating	0.750	anger
horror	0.750	anger
despise	0.750	anger
dontmesswithme	0.750	anger
stfu	0.750	anger
growling	0.750	anger
profane	0.750	anger
vulgarity	0.750	anger
douchebags	0.750	anger
fuckedoff	0.742	anger
violence	0.742	anger
molestation	0.742	anger
screaming	0.742	anger
erupt	0.742	anger
horrible	0.742	anger
threat	0.742	anger
bastards	0.741	anger
revenge	0.738	anger
catastrophe	0.735	anger
menacing	0.735	anger
damn	0.735	anger
demon	0.735	anger
crushing	0.735	anger
thrash	0.734	anger
riotous	0.734	anger
fedup	0.734	anger
deplore	0.734	anger
warfare	0.734	anger
argue	0.734	anger
vehement	0.734	anger
persecute	0.734	anger
flog	0.734	anger
revolt	0.734	anger
altercation	0.729	anger
warlike	0.728	anger
shitday	0.727	anger
castrate	0.727	anger
mutiny	0.727	anger
